Date,idx_NAM_econ,idx_NAM_econ_pessi,idx_NAM_econ_label,idx_NAM_pol,idx_NAM_pol_pessi,idx_NAM_pol_label,idx_NAM_dis,idx_NAM_dis_pessi,idx_NAM_dis_label,idx_NAM_cyb,idx_NAM_cyb_pessi,idx_NAM_cyb_label,idx_EU_econ,idx_EU_econ_pessi,idx_EU_econ_label,idx_EU_pol,idx_EU_pol_pessi,idx_EU_pol_label,idx_EU_dis,idx_EU_dis_pessi,idx_EU_dis_label,idx_EU_cyb,idx_EU_cyb_pessi,idx_EU_cyb_label,idx_EA_econ,idx_EA_econ_pessi,idx_EA_econ_label,idx_EA_pol,idx_EA_pol_pessi,idx_EA_pol_label,idx_EA_dis,idx_EA_dis_pessi,idx_EA_dis_label,idx_EA_cyb,idx_EA_cyb_pessi,idx_EA_cyb_label,idx_JP_econ,idx_JP_econ_pessi,idx_JP_econ_label,idx_JP_pol,idx_JP_pol_pessi,idx_JP_pol_label,idx_JP_dis,idx_JP_dis_pessi,idx_JP_dis_label,idx_JP_cyb,idx_JP_cyb_pessi,idx_JP_cyb_label,idx_ME_econ,idx_ME_econ_pessi,idx_ME_econ_label,idx_ME_pol,idx_ME_pol_pessi,idx_ME_pol_label,idx_ME_dis,idx_ME_dis_pessi,idx_ME_dis_label,idx_ME_cyb,idx_ME_cyb_pessi,idx_ME_cyb_label,idx_GLO_econ,idx_GLO_econ_pessi,idx_GLO_econ_label,idx_GLO_pol,idx_GLO_pol_pessi,idx_GLO_pol_label,idx_GLO_dis,idx_GLO_dis_pessi,idx_GLO_dis_label,idx_GLO_cyb,idx_GLO_cyb_pessi,idx_GLO_cyb_label,Bottom
2012-04-02,176.862164356,-108.86785452494,Big Winners And Losers Of The Year So Far,4.3456905902,-6.443191511,Bank lobby boss to quit after rocky five years,0.0143248932,-0.19895844000000001,Air Canada machinists to fight anti-strike bill in court,0.6750115,-0.05894755,"Data 2.0 Summit Explores the Big Data, Social Data, and Open Data Revolution",190.642406026,-137.73050113748002,Big Winners And Losers Of The Year So Far,11.2139925922,-12.545495149,Bank lobby boss to quit after rocky five years,0.0,0.0,0,0.020264968,-0.03766275,Cisco silent on NDS hacking allegations,76.868972912,-64.97563556711,FTSE CLOSE: Market rebounds on U.S. manufacturing growth; UK and China expand too but eurozone falters,4.4789418244000005,-1.57967032,"Vodafone CEO writes to Pranab, PM about amending tax laws",0.191361,-0.696746,Tanker drivers' conditions 'eroded',0.0,0.0,0,12.656556086999998,-13.99857770634,FTSE firmly higher early on with miners leading,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,15.941964799200003,-12.575670723350001,Oil Rises a Second Day as China Economy Boosts Demand Outlook,0.468132585,-0.7010892400000001,The News Matrix: Monday 2 April 2012,0.0,0.0,0,0.0,0.0,0,472.9720641802,-338.1482396592201,Big Winners And Losers Of The Year So Far,0.0,0.0,Bank lobby boss to quit after rocky five years,0.0,0.0,Air Canada machinists to fight anti-strike bill in court,0.0,0.0,"Data 2.0 Summit Explores the Big Data, Social Data, and Open Data Revolution",0
2012-04-03,113.79397199069999,-83.47892633995,FTSE CLOSE: Weak US manufacturing data pushes market down; BSkyB shares wobble on Murdoch resignation,3.074347985,-0.35841880963,Century Council Athlete Ambassadors Convey Anti-Underage Drinking Messages During Alcohol Awareness Month,0.0,0.0,0,0.0,0.0,0,150.8566630793,-130.75397539618,Big European dividends make some shareholders wary,2.132699159,-5.080270304999999,Retro tax may hurt investment: UK,1.428007714,-1.2293568959999999,"Europe Distillates-Diffs steady, eyes on supply",0.0,0.0,0,42.259852890999994,-36.16735627281,James Murdoch steps down as BSkyB chairman,0.014661158,-0.21077868,SNP suspends election candidate,1.342183244,-0.9415359560000002,"Europe Distillates-Diffs steady, eyes on supply",0.0,0.0,0,4.2300758905,-3.7832376594999997,Ajinomoto Pharmaceuticals and Albireo Announce Japan and Asia License Agreement for Elobixibat,0.0,0.0,0,1.11328764,-0.147556726,"Europe Distillates-Diffs steady, eyes on supply",0.0,0.0,0,11.920024107100001,-10.21762499418,London midday: Whitbread blows froth off Costa speculation,0.0,0.0,0,1.11328764,-0.147556726,"Europe Distillates-Diffs steady, eyes on supply",0.0,0.0,0,323.0605879586,-264.40112066262,FTSE CLOSE: Weak US manufacturing data pushes market down; BSkyB shares wobble on Murdoch resignation,0.0,0.0,Century Council Athlete Ambassadors Convey Anti-Underage Drinking Messages During Alcohol Awareness Month,0.0,0.0,0,0.0,0.0,0,0
2012-04-04,84.4189625766,-95.51540859325,FTSE hit as Fed dampens hopes for fresh stimulus,0.895232258,-0.41017383100000004,David Cameron signals rethink over tax relief cap on philanthropy,0.60489594,-0.693516373,"Europe Distillates-Diesel diffs dip, supply eyed",0.0,0.0,0,110.81552049534,-135.18441103512998,FTSE 100 slips as miners drop; Next off,4.264671894999999,-6.134585510700001,Syrians don't want to take part in London Games - Saroot,1.614339042,-2.7075821799999997,Talks held in fuel tankers dispute,0.0,0.0,0,18.047084520700004,-25.11826619296,TV Content Shines as Deals Abound at MIPTV,0.6840726855,-0.7242694103999999,One in five women retiring this year has no pension... and a quarter think State payout is worth more than it is,0.726073342,-1.212990853,"Europe Distillates-Diesel diffs dip, supply eyed",0.0,0.0,0,2.0410492560999995,-4.542844024430001,Medivir Announces Acceptance of Four TMC435 Abstracts for Presentation at the EASL meeting,0.029624929,-0.0024059909,Crisis and opportunity,0.0,0.0,0,0.0,0.0,0,9.6049982104,-8.45412788647,World Filters Market,0.531518902,-2.07092688,Syrians don't want to take part in London Games - Saroot,0.0,0.0,0,0.0,0.0,0,224.92761505913998,-268.81505773224,FTSE hit as Fed dampens hopes for fresh stimulus,6.4051206695,-9.342361623,David Cameron signals rethink over tax relief cap on philanthropy,0.0,0.0,"Europe Distillates-Diesel diffs dip, supply eyed",0.0,0.0,0,0
2012-04-05,93.24084188,-76.06526090010999,UPDATE 1-UK Stocks-Factors to watch on Thursday April 5,0.30529392790000004,-0.477119021,UPDATE 3-Coke withdraws from advocacy group that backs gun laws,1.16182016,-0.78888996,Europe Distillates-Prices fall in thin trade,0.0,0.0,0,106.9707395257,-89.24509945206,"London midday: Footsie down after manufacturing data, BoE holds rates",1.579689305,-2.6735018257,India under pressure over telecom ruling,1.16182016,-0.78888996,Europe Distillates-Prices fall in thin trade,0.0,0.0,0,29.179716669100003,-29.55457367409,UPDATE 1-UK Stocks-Factors to watch on Thursday April 5,0.6402125599999999,-0.39450066,All Eco Eyes This Week Have Been on the World's First 'Carbon Footprinting' Gallery Launched by the Carbon PR Newswire,1.16182016,-0.78888996,Europe Distillates-Prices fall in thin trade,0.0,0.0,0,4.3369261963,-5.86545848963,Harry Winston Diamond Corporation Reports Fiscal 2012 Fourth Quarter and Year-End Results,0.014691036000000001,-0.0011931336,Crisis and opportunity,0.0,0.0,0,0.0,0.0,0,14.746916474299999,-13.685891554800003,HSBC veteran Flockhart retires from executive role,0.17458487,-0.18620981,Russia warns the West not to arm Syria's rebel fighters,1.16182016,-0.78888996,Europe Distillates-Prices fall in thin trade,0.0,0.0,0,248.4751407454,-214.41628407068998,UPDATE 1-UK Stocks-Factors to watch on Thursday April 5,2.7144716988999997,-3.7325244502999997,UPDATE 3-Coke withdraws from advocacy group that backs gun laws,0.0,0.0,Europe Distillates-Prices fall in thin trade,0.0,0.0,0,0
2012-04-06,20.7829875547,-21.139418467600002,Market Report: Sky heads to earth after news of email hacking,0.278572682,-0.11865870399999999,Memo: Romney delegates counted too high,0.0,0.0,0,0.0,0.0,0,30.4535758522,-35.93646970665,Market Report: Sky heads to earth after news of email hacking,5.074706582,-3.2973430979999994,India an attractive investment destination: Lord Swraj Paul,0.5989972,-0.11727018,Fuel strike talks to resume after Easter,0.0,0.0,0,8.2838689611,-10.358378825550002,Market Report: Sky heads to earth after news of email hacking,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.0278720499999998,-0.39994715299999994,"Japan Hot Stocks-Chiome Bioscience, Fujiya, Shimamura, Kobe Steel, Kuraray",0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.05220598,-2.7948966622,Dubai private-equity arm in debt deal,0.188834088,-0.20021598899999998,Assad metes out a day of brutal violence,0.0,0.0,0,0.0,0.0,0,61.600510398,-70.629110815,Market Report: Sky heads to earth after news of email hacking,0.0,0.0,Memo: Romney delegates counted too high,0.0,0.0,0,0.0,0.0,0,0
2012-04-09,49.8114966648,-30.42329578983,"Global Copper Market to Reach 27.5 Million Metric Tons by 2017, According to New Report by Global Industry Analysts, Inc.",2.4886873526,-0.45227002580000003,ALEC: What It Does and Why Three Major Corporations Cut Ties,0.012979155,-0.0078277765,AT&T Remains in Talks With Union After Labor Contracts Expire,0.0,0.0,0,30.4498199728,-33.0374138821,"Global Copper Market to Reach 27.5 Million Metric Tons by 2017, According to New Report by Global Industry Analysts, Inc.",4.0972976690000005,-3.3657712120000003,Students trash cross-Channel ferry,0.0,0.0,0,0.0,0.0,0,19.8292961862,-20.456950041800003,"Global Copper Market to Reach 27.5 Million Metric Tons by 2017, According to New Report by Global Industry Analysts, Inc.",0.350143082,-0.48489916899999996,"Retrospective tax amendment issue: ICC, BIAC write to Pranab",0.0,0.0,0,0.0,0.0,0,5.244922336699998,-2.807229818,Yen Gains as Current Account Bolsters Haven Appeal; Euro Weakens,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,35.6521235963,-12.442214096889998,Qatar builds up Xstrata stake ahead of Glencore deal,0.070508,-0.750478,Video: Syrian ceasefire in doubt,0.0,0.0,0,0.0,0.0,0,140.9876587568,-99.16710362862,"Global Copper Market to Reach 27.5 Million Metric Tons by 2017, According to New Report by Global Industry Analysts, Inc.",0.0,0.0,ALEC: What It Does and Why Three Major Corporations Cut Ties,0.0,0.0,AT&T Remains in Talks With Union After Labor Contracts Expire,0.0,0.0,0,0
2012-04-10,82.42356511899999,-83.20852270076,"Banks, resources push FTSE 100 lower",2.871410919,-1.4225233849999999,Five terror suspects lose extradition case,0.07776983600000001,-0.8944484,Talks Over Potential UK Fuel Strike Resume Tuesday,0.152827755,-0.057347547,Utah Breach Shows Vulnerability of Health Records,100.91880817590001,-115.29287858774,"Banks, resources push FTSE 100 lower",1.9742152036,-3.228604503,Drunk students run rampant on ferry,0.5406578140000001,-3.4804008400000006,Talks Over Potential UK Fuel Strike Resume Tuesday,0.484708943,-1.334798022,"Blogger exposes links between UK journos, shady PI",38.67994796650001,-60.003898479810005,First Quantum Takeover Trade Turning on Anglo-Rio Talk: Real M,0.22420638000000004,-0.11523107999999999,MPs' £1.8m in perks revealed,0.19491233400000002,-1.6461384799999998,Talks Over Potential UK Fuel Strike Resume Tuesday,0.0,0.0,0,5.717531993200001,-9.8454691017,Medivir: Annual Report 2011,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12.586211980200002,-11.149483024290003,The Aviation Security Market 2012-2022,0.0,0.0,0,0.27857600000000005,-1.46313656,Europe Distillates-Steady in very thin market,0.0,0.0,0,240.3260652348,-279.50025189430005,"Banks, resources push FTSE 100 lower",0.0,0.0,Five terror suspects lose extradition case,0.0,0.0,Talks Over Potential UK Fuel Strike Resume Tuesday,0.0,0.0,Utah Breach Shows Vulnerability of Health Records,0
2012-04-11,79.84625428148,-62.460636167724005,GM Financial Announces $1.1 Billion Senior Subordinate Asset-Backed Securitization,2.4118919090000004,-2.1885054092000003,"Supreme Court to Decide Overtime Fate for Pharmaceutical ""Sales Representatives"" -- JacksonWhite, Kingsley & Kingsley and Sanford Wittels & Heisler",0.34812825,-1.03805598,Europe Distillates-Gasoil diffs firmer after data,0.0,0.0,0,97.11294181328,-73.035315607184,"London close: Banks, miners lead the rebound",5.571164027200001,-4.523204409,David Cameron plays down embarrassing moment in Indonesia,0.34812825,-1.03805598,Europe Distillates-Gasoil diffs firmer after data,0.03947645,-0.06856853,Journalist with links to sleuth named on net,27.80521959095,-30.049322722973997,China Sourcing Fairs open in Hong Kong April 12,0.265264606,-0.8277044371999999,"Supreme Court to Decide Overtime Fate for Pharmaceutical ""Sales Representatives"" -- JacksonWhite, Kingsley & Kingsley and Sanford Wittels & Heisler",0.0,0.0,0,0.0,0.0,0,3.5901162934000004,-3.6915479203299997,"Cellebrite, Leader in Mobile Data Transfer and Forensic Software, Engages Affect for Public Relations",0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,6.3669846936,-7.9939316149,Market Report: Dividend let down sees BT miss out on bounce back,0.0556822,-0.819012,Concerns Over Barclays Chief's Bonus,0.0,0.0,0,0.0,0.0,0,214.72151667270998,-177.23075403311202,GM Financial Announces $1.1 Billion Senior Subordinate Asset-Backed Securitization,0.0,0.0,"Supreme Court to Decide Overtime Fate for Pharmaceutical ""Sales Representatives"" -- JacksonWhite, Kingsley & Kingsley and Sanford Wittels & Heisler",0.0,0.0,Europe Distillates-Gasoil diffs firmer after data,0.0,0.0,0,0
2012-04-12,123.85134287109999,-63.26310401869,Elsevier Launches New Journal Algal Research,0.297872314,-0.2345851612,"The John Marshall Law School Presents ""Ethics in the Practice of Intellectual Property Law""",0.152435,-0.6181810000000001,Unilever Says Two Unions Accept Revised Pension Deal,0.0,0.0,0,142.36305925,-88.46974033782999,London close: Shell rallies as it denies oil slick blame,1.0408355157999998,-3.448554082,British PM due in Myanmar for landmark talks,0.6158493,-1.249223559,Unilever Says Two Unions Accept Revised Pension Deal,0.0,0.0,0,26.372990089199995,-22.3035825331,China Pharmaceuticals and Healthcare Report Q2 2012,0.559207707,-1.7728009832,"The John Marshall Law School Presents ""Ethics in the Practice of Intellectual Property Law""",0.0,0.0,0,0.0,0.0,0,5.705848317999999,-4.82181853042,Cherokee Inc. Reports Fourth Quarter and Fiscal Year 2012 Financial Results,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12.083913212,-8.047071271,CSE-Semaphore SCADA System Products Will Be on Exhibit at ENTELEC 2012,0.358800717,-0.6879955550000001,DJ Elektron Technology PLC Full year results,0.3156003,-0.004422559,Europe Distillates-Milazzo demand leads diesel up,0.0,0.0,0,310.3771537403,-186.90531669103996,Elsevier Launches New Journal Algal Research,0.0,0.0,"The John Marshall Law School Presents ""Ethics in the Practice of Intellectual Property Law""",0.0,0.0,Unilever Says Two Unions Accept Revised Pension Deal,0.0,0.0,0,0
2012-04-13,104.85669456208,-83.86430468065001,SBA Honors Mississippi Public Official For Outstanding Disaster Recovery Efforts,1.138131719,-3.5788172449999993,British PM meets Myanmar leader on historic visit,0.092063967,-0.5061676190000001,"Air Canada cancels flights after ""illegal job action""",0.0,0.0,0,124.97502028778001,-144.56074967945,"FTSE off after China data; banks, Vodafone decline",2.420215067,-4.435531879999999,British PM meets Myanmar leader on historic visit,0.0,0.0,0,0.0,0.0,0,54.30497611458,-75.06020482228,"Banks lead FTSE retreat after gains, China data digested",0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7.4546629796,-3.2727098362000007,FTSE firmly lower early on as banks and miners,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5.480473296,-4.0861255441,Qatar plays merger-maker at Glencore-Xstrata,0.032323256,-0.029876627000000003,Egypt to sign $3.2 billion IMF loan agreement before May 15,0.0,0.0,0,0.0,0.0,0,297.0718272400401,-310.84409456268,SBA Honors Mississippi Public Official For Outstanding Disaster Recovery Efforts,0.0,0.0,British PM meets Myanmar leader on historic visit,0.0,0.0,"Air Canada cancels flights after ""illegal job action""",0.0,0.0,0,0
