Company,RIC,AnnualRevenue,MktCapMilUSD
SKF,,$9.7B,9700.0
Schaeffler,SCHE.L,$16.3B,16300.0
Eagle Ottawa,,$4.4M,4.4
Ferrari,,$4.2B,4200.0
Johnson Electric,0179.HK,$3.2B,3402.570302
NSK,6471.T,$9.1B,4792.7244519999995
Cummins,CMI.N,$24.2B,28849.18
Grupo Antolin,,$5.5B,5500.0
Sika,,$6.4B,6400.0
SAIC,600104.SS,$5.1B,41990.3535
Aisin Seiki,7259.T,$34.7B,16347.3696
Peugeot,PEUP.PA,$13.5M,22619.262400000003
Geely,0175.HK,$14.2B,31426.781340000005
CFAO,,$10M,10
Nbc Bearings,,$212.2M,212.2
Sumitomo,8316.T,,49232.0612
ZF TRW,,$17.2B,17200.0
Modine Manufacturing,MOD.N,,729.45
Valeo,VLOF.PA,,6981.195200000001
NHK Spring,5991.T,,2784.3064
Spartan,SPTN.O,,429.59
Engliftsystems,,$6.5M,6.5
Shell,,$396.6B,396600.0
Oshkosh,OSK.N,,5995.96
Subaru,7270.T,,28341.0508
Bridgestone,5108.T,,29684.996
Dell,,$91.2B,91200.0
Aston Martin,,$1.6B,1600.0
TimKen,TKR.N,,3710.07
P&G,PG.N,,290690.31
Toyota Industries,6201.T,,17926.4484
HUAWEI,,$108B,108000.0
Mitsubishi Corp,8058.T,,38180.9292
Renault,RENA.PA,,17418.2848
Philips,PHG.AS,,36862.560000000005
Volkswagen,VOWG_p.DE,,87837.2544
SRG Global,,$1B,1000.0
Kion Group,,$9B,9000.0
Makita,6586.T,,11515.4376
Thyssenkrupp,TKAG.DE,,8084.4400000000005
S.C. Johnson,,$10.3B,10300.0
JTEKT,6473.T,,4124.653571999999
General Motor,GM.N,,55927.23
Nathan,,$11M,11
Marubeni,8002.T,,11544.0956
Calsonic kansei,,$1.2B,1200.0
Godrej Consumer Products,GOCP.NS,,9686.972849999998
Audi,NSUG.DE,,38335.36
BenQ,8215.TW,,265.26208
Kia,000270.KS,,14505.929999999998
Bajaj Auto,BAJA.NS,,11778.4125
Mold Masters,,$4.6M,4.6
NGK Spark Plug,5334.T,,3769.016348
Nemak,,$15.1M,15.1
Inteva Products,,$17.8M,17.8
NVIDIA,NVDA.O,,101751.7
Tata,TAMO.NS,,7563.48135
Delphi,DLPH.N,$4.7B,1561.24
Nissan,7201.T,,42383.5812
Magneti Marelli,,$9.8B,9800.0
ITOCHU,8001.T,,28111.152
Isuzu,7202.T,,9409.5208
GETRAG,,$100M,100
Takata,,$6B,6000.0
Yamaha Motor Corporation,7272.T,,6040.947147999999
Whiting,,$52M,52
Nikon,7731.T,,5705.469147999999
ZF Lenksysteme,,$21.5M,21.5
Toyota Tsusho,8015.T,,10798.0124
Samsung,005930.KS,,264555.6864
Keihin,7251.T,,1023.0381600000001
Tesla,TSLA.O,,59558.64
Benteler,,$9.2B,9200.0
HTC,2498.TW,,1032.35808
NTN,,$10M,10
Mahle,,$15.3B,15300.0
Suzuki,7269.T,,20772.1648
Sony,6758.T,,68613.1492
Mitsubishi Motor,7211.T,,6827.878347999999
Sisscohoist,,$43.4M,43.4
Porsche,PSHG_p.DE,,9465.400000000001
OSRAM,,$4.9B,4900.0
Siemens,SIEGn.DE,,95523.68000000001
L'Oreal,OREP.PA,,158050.48
Toyota,7203.T,$281.1B,210137.016
Panasonic,6752.T,,36661.8712
Lear,LEA.N,,11816.1
Ford,F.N,,48892.3
Magna,,$40.6B,40600.0
BMW,BMWG.DE,,64807.85920000001
FCA,FIA.MI,$139.2B,139200.0
Kandi Technologies,KNDI.O,,441.8
Baidu,BIDU.O,,39982.25
Hyundai,005380.KS,,28493.921
Daimler,DAIGn.DE,,56385.83
Adient,,$17B,17000.0
Mazda,7261.T,,6469.419852
BorgWarner,BWA.N,,8371.49
Stabilus,,$9.7B,9700.0
Minebea,6479.T,,7206.045452
Navistar,NAV.N,,4343.62
Bosch,,$91.4B,91400.0
Microsoft,MSFT.O,,1050419.0
Tencent,0700.HK,,440461.4834
DENSO,6902.T,,33715.5344
Scania,,$15.4B,15400.0
Johnson Controls,JCI.N,,38293.62
Paccar,PCAR.O,,25141.4
Honda,7267.T,,47270.6764
Brembo,BRBI.MI,,3739.9264000000003
Wabco,WBC.N,,6794.49
Elringklinger,ZILGn.DE,,378.2352
Hero Motor,HROM.NS,,7625.1088500000005
Alibaba,,$53.1B,53100.0
Honeywell,HON.N,,127194.8
Toyoda Gosei,7282.T,,2509.4012
United Technologies,UTX.N,,94438.91
Harman Embedded Audio,,$7.2B,7200.0
Toyota Boshoku,3116.T,,4186.822572
Unilever,,$58.3B,58300.0
TVS,TVSM.NS,,3067.428
Hoover Precision Products,,$12M,12
Mitsubishi Electric,6503.T,,28179.4436
Faurecia,EPED.PA,,9444.523200000001
