topic_all_factor,topic_all,topic_tyt_factor,topic_tyt,reg_all_factor,reg_all,reg_tyt_factor,reg_tyt
Company News,5845885,Cyclical Consumer ,23631,United States,5472708,United States,19966
Corporate Events,2145758,Automobiles&Auto Parts,12417,Asia,2604870,Asia,15820
Cyclical Consumer ,1941639,Auto&Truck Manufacturers,10664,Europe,2513198,Japan,7784
General News,1359712,Emerging markets,10221,West Europe,2050945,Europe,6452
Financials ,1079887,General News,8392,United Kingdom,1245730,Western Europe,4679
Banking&Investment ,900545,Corporate Events,4913,China (PRC),875601,China (PRC),4554
Performance/Results/Earnings,786966,Crime/Law/Justice,2330,Canada,591989,Australia,3112
Commodities Markets,752438,Sport,2240,India,513575,Great Britain,2118
Market Events,569013,Crime,2228,Japan,472642,India,1797
Sport,428103,Performance / Results / Earnings,2224,Australia,423755,Africa,1676
